docid,paraid,exfeat,imfeat,opword,context,fsentiment,ssentiment
48,2,programs,,run,,positive,positive
48,3,camcorder,,can turn,,positive,positive
48,3,digital camera,,can turn,,positive,positive
48,3,mp3-player,,can turn,,positive,positive
48,3,movie-viewer,,can turn,,positive,positive
48,3,voice-recorder,,can turn,,positive,positive
48,3,personal secretary,,can turn,,positive,positive
48,3,GPS map browser,,can turn,,positive,positive
48,3,book,,can turn,,positive,positive
48,3,multifuction remote controller,,can turn,,positive,positive
48,4,,price,little,,positive,positive
48,5,storing videos,,perfect,,positive,positive
48,5,pictures,,perfect,,positive,positive
48,5,mp3s,,perfect,,positive,positive
48,6,look,,nice,,positive,positive
48,8,phone,,primitive,,negative,positive
